trial,dense_units,dropout,optimizer,lr,unfreeze_layers,alpha,accuracy,precision,recall,f1_score,weighted_score
1,512,0.36,sgd,0.000408207212033996,61,0.35,0.831852,0.845853,0.831852,0.829788,0.485684
2,256,0.4,adam,0.0005711214409132686,34,0.75,0.912099,0.91794,0.912099,0.912876,0.697123
3,512,0.3,sgd,0.00046404924745583573,73,0.35,0.861235,0.873822,0.861235,0.860241,0.557553
4,128,0.46,rmsprop,1.3364392600330285e-05,98,0.35,0.874568,0.886369,0.874568,0.872442,0.591477
5,128,0.49,rmsprop,0.004505164654025286,63,1.0,0.956049,0.957277,0.956049,0.956095,0.836564
6,512,0.44,adam,0.0034911963642033327,69,0.5,0.929877,0.935852,0.929877,0.930127,0.752662
7,128,0.37,adam,0.0006984056472278162,73,1.0,0.939012,0.941364,0.939012,0.93925,0.779617
8,128,0.42,adam,0.0010931953831373527,60,0.35,0.915802,0.920467,0.915802,0.916223,0.707315
9,256,0.31,sgd,0.00016363376207560515,58,1.0,0.899753,0.905188,0.899753,0.900176,0.65965
10,512,0.4,rmsprop,0.00025451656016550793,97,1.0,0.952346,0.953433,0.952346,0.952561,0.823706
11,128,0.59,sgd,0.003389311036675286,38,0.75,0.91037,0.917685,0.91037,0.910728,0.692658
12,128,0.54,sgd,0.004427822775493768,39,1.0,0.902963,0.909067,0.902963,0.903752,0.669862
13,128,0.58,rmsprop,1.0761267573185484e-05,40,0.75,0.896049,0.906123,0.896049,0.896186,0.652002
14,256,0.6,rmsprop,1e-05,30,0.5,0.850864,0.862453,0.850864,0.850254,0.53089
15,256,0.3,rmsprop,1e-05,30,1.0,0.840494,0.850301,0.840494,0.841518,0.505481
16,512,0.36,sgd,0.000408207212033996,61,0.35,0.823704,0.840607,0.823704,0.820419,0.467919
17,256,0.4,adam,0.0005711214409132686,34,0.75,0.911605,0.917527,0.911605,0.911921,0.695327
18,512,0.3,sgd,0.00046404924745583573,73,0.35,0.83284,0.845102,0.83284,0.830409,0.48677
19,128,0.46,rmsprop,1.3364392600330285e-05,98,0.35,0.880988,0.890345,0.880988,0.878669,0.607188
20,128,0.49,rmsprop,0.004505164654025286,63,1.0,0.956049,0.95652,0.956049,0.956023,0.83584
21,512,0.44,adam,0.0034911963642033327,69,0.5,0.942469,0.944068,0.942469,0.942211,0.790107
22,128,0.37,adam,0.0006984056472278162,73,1.0,0.950617,0.952022,0.950617,0.950661,0.81787
23,128,0.42,adam,0.0010931953831373527,60,0.35,0.878519,0.885799,0.878519,0.877888,0.600173
24,256,0.31,sgd,0.00016363376207560515,58,1.0,0.898765,0.902926,0.898765,0.898997,0.655697
25,512,0.4,rmsprop,0.00025451656016550793,97,1.0,0.905432,0.910044,0.905432,0.906038,0.675959
26,128,0.6,rmsprop,0.004999999999999999,30,0.75,0.930123,0.933802,0.930123,0.930516,0.751726
27,128,0.53,adam,0.004999999999999999,100,1.0,0.947654,0.952398,0.947654,0.948223,0.811015
28,256,0.55,adam,0.004921079603075031,82,0.35,0.921235,0.925532,0.921235,0.921431,0.72376
29,128,0.3,adam,0.003969389256148476,30,1.0,0.884938,0.894784,0.884938,0.886041,0.620866
30,256,0.4,rmsprop,0.004999999999999999,94,0.5,0.936296,0.939401,0.936296,0.936751,0.771439
31,128,0.6,rmsprop,0.004999999999999999,75,1.0,0.949383,0.952554,0.949383,0.949975,0.815614
32,128,0.6,rmsprop,0.004999999999999999,80,0.75,0.949383,0.951576,0.949383,0.94967,0.814515
33,256,0.43,adam,0.004637747348189006,100,0.75,0.950123,0.95304,0.950123,0.950514,0.817768
34,128,0.6,adam,0.004999999999999999,72,0.75,0.94716,0.949319,0.94716,0.947273,0.806742
35,128,0.6,rmsprop,0.004999999999999999,73,0.75,0.954815,0.955128,0.954815,0.954835,0.831435
36,256,0.3,rmsprop,0.004999999999999999,73,0.75,0.951111,0.951977,0.951111,0.951193,0.819139
37,128,0.6,adam,0.004999999999999999,73,0.75,0.953333,0.953414,0.953333,0.953065,0.825836
38,128,0.6,sgd,0.004999999999999999,100,0.75,0.945432,0.948387,0.945432,0.945506,0.801514
39,128,0.6,rmsprop,0.004999999999999999,100,0.75,0.953333,0.956119,0.953333,0.953684,0.828716
40,128,0.6,adam,0.004999999999999999,100,0.75,0.948642,0.950433,0.948642,0.948639,0.811385
41,128,0.6,adam,0.004999999999999999,75,0.5,0.925432,0.931955,0.925432,0.925494,0.738682
42,512,0.3,rmsprop,0.004999999999999999,76,0.75,0.954321,0.954904,0.954321,0.954421,0.83002
43,256,0.3,rmsprop,0.004999999999999999,84,1.0,0.942963,0.946055,0.942963,0.943154,0.793392
44,128,0.6,rmsprop,0.004999999999999999,71,0.75,0.951605,0.952351,0.951605,0.9517,0.820749
45,256,0.6,rmsprop,0.004999999999999999,66,0.75,0.946667,0.947731,0.946667,0.946572,0.803956
