trial,dense_units,dropout,optimizer,lr,unfreeze_from,random_state,accuracy,precision,recall,f1_score,weighted_score
1,512,0.3733739159464655,sgd,0.0030245657739377866,block5_conv2,5,0.976296,0.976482,0.976296,0.976289,0.90867
2,256,0.4334834444556087,adam,0.0032893535174493794,block5_conv1,31,0.317284,0.262714,0.317284,0.260434,0.006888
3,512,0.30031150633640574,sgd,0.003125659397175811,block5_conv2,1,0.964938,0.965081,0.964938,0.96493,0.867079
4,512,0.3733739159464655,sgd,0.0030245657739377866,block5_conv2,5,0.977778,0.97804,0.977778,0.977795,0.914291
5,256,0.4334834444556087,adam,0.0032893535174493794,block5_conv1,31,0.981235,0.981571,0.981235,0.981226,0.927335
6,512,0.30031150633640574,sgd,0.003125659397175811,block5_conv2,1,0.964938,0.96507,0.964938,0.96493,0.867069
7,128,0.5099098641033557,rmsprop,0.0003286617497467156,block5_conv3,11,0.981975,0.982317,0.981975,0.982006,0.93018
8,128,0.547354403733235,rmsprop,0.004917831340453263,block5_conv2,36,0.949383,0.949686,0.949383,0.949286,0.812568
9,512,0.4801997007878172,adam,0.00471678860285578,block5_conv2,17,0.978025,0.978433,0.978025,0.978003,0.915316
10,128,0.3923575302488596,adam,0.0034479912422447456,block5_conv2,35,0.982469,0.982619,0.982469,0.982467,0.931839
11,128,0.45642424302929635,adam,0.003801270910556498,block5_conv2,10,0.844691,0.846943,0.844691,0.843161,0.509519
12,256,0.3125253169822234,sgd,0.002303795253511852,block5_conv2,39,0.955309,0.955437,0.955309,0.955231,0.83291
13,512,0.43061630752233415,rmsprop,0.0026520878741265364,block5_conv3,36,0.949136,0.951021,0.949136,0.949394,0.81338
14,512,0.41864834473356727,sgd,0.0034135721931452825,block5_conv2,8,0.956296,0.956335,0.956296,0.95623,0.836291
15,256,0.6704074707031049,adam,0.0002352764977182023,block5_conv3,40,0.983704,0.98369,0.983704,0.983681,0.936357
16,512,0.5156292428149203,rmsprop,0.0019417945545558979,block5_conv1,21,0.97284,0.97342,0.97284,0.972835,0.896235
17,256,0.6999672515628187,adam,0.00021242213168142727,block5_conv3,27,0.932346,0.93713,0.932346,0.931191,0.758564
18,512,0.6922807060973631,adam,0.001007951148106888,block5_conv1,36,0.978025,0.978317,0.978025,0.978009,0.915213
19,512,0.6182450129804135,rmsprop,0.00013306812359679656,block5_conv1,42,0.97679,0.977032,0.97679,0.97678,0.910559
20,512,0.6960805521353487,adam,0.0012950413547396615,block5_conv1,41,0.263951,0.187104,0.263951,0.186658,0.002433
21,256,0.3113649899645529,rmsprop,0.00481148228772128,block5_conv1,2,0.980494,0.980699,0.980494,0.980497,0.924426
22,256,0.6900857390675966,rmsprop,0.00439640258852966,block5_conv1,2,0.980988,0.980989,0.980988,0.98095,0.926057
23,128,0.3245327637280034,sgd,0.004153566928566649,block5_conv1,38,0.97679,0.977081,0.97679,0.976803,0.910625
24,128,0.6944021874222669,sgd,0.0006175844649952546,block5_conv1,1,0.977284,0.977482,0.977284,0.977292,0.912378
25,256,0.32007009883718124,sgd,0.00487137072576655,block5_conv1,2,0.973333,0.973534,0.973333,0.973348,0.897724
26,128,0.6958886846549489,sgd,0.000434896437173257,block5_conv1,38,0.959506,0.959562,0.959506,0.95945,0.8476
27,256,0.6959575154189521,sgd,0.004517967774868941,block5_conv3,2,0.968889,0.968888,0.968889,0.96887,0.881225
28,512,0.3097263518295581,rmsprop,0.0001065498873776288,block5_conv1,5,0.980247,0.980546,0.980247,0.980254,0.923587
29,512,0.3733739159464655,sgd,0.0030245657739377866,block5_conv2,5,0.978025,0.978251,0.978025,0.978026,0.915167
30,256,0.4334834444556087,adam,0.0032893535174493794,block5_conv1,31,0.111111,0.012516,0.111111,0.022497,3e-06
31,512,0.30031150633640574,sgd,0.003125659397175811,block5_conv2,1,0.976296,0.976561,0.976296,0.976337,0.908788
32,128,0.5099098641033557,rmsprop,0.0003286617497467156,block5_conv3,11,0.114074,0.018218,0.114074,0.029634,7e-06
