trial,dense_units,dropout,optimizer,lr,unfreeze_from,random_state,accuracy,precision,recall,f1_score,weighted_score
1,512,0.3733739159464655,sgd,0.0030245657739377866,conv5_block2_out,5,0.944938,0.94523,0.944938,0.94488,0.797482
2,256,0.4334834444556087,adam,0.0032893535174493794,conv5_block1_out,31,0.945185,0.945907,0.945185,0.945219,0.798757
3,512,0.30031150633640574,sgd,0.003125659397175811,conv5_block2_out,1,0.939506,0.939695,0.939506,0.939464,0.779231
4,128,0.5099098641033557,rmsprop,0.0003286617497467156,conv5_block3_out,11,0.946667,0.947001,0.946667,0.946636,0.803393
5,128,0.547354403733235,rmsprop,0.004917831340453263,conv5_block2_out,36,0.944691,0.944688,0.944691,0.944588,0.796362
6,512,0.4801997007878172,adam,0.00471678860285578,conv5_block2_out,17,0.945926,0.946307,0.945926,0.945808,0.800847
7,128,0.3923575302488596,adam,0.0034479912422447456,conv5_block2_out,35,0.944198,0.944131,0.944198,0.944065,0.79462
8,128,0.45642424302929635,adam,0.003801270910556498,conv5_block2_out,10,0.945926,0.94631,0.945926,0.945931,0.800954
9,256,0.3125253169822234,sgd,0.002303795253511852,conv5_block2_out,39,0.942963,0.943144,0.942963,0.942735,0.7906
10,512,0.43061630752233415,rmsprop,0.0026520878741265364,conv5_block3_out,36,0.952099,0.952143,0.952099,0.951982,0.821665
11,512,0.35278920910143763,adam,0.0039025609858394056,conv5_block3_out,42,0.948148,0.948416,0.948148,0.947875,0.808169
12,128,0.4229127440893734,sgd,0.0004912090234571356,conv5_block3_out,13,0.948889,0.949018,0.948889,0.948834,0.810765
13,512,0.3733739159464655,sgd,0.0030245657739377866,conv5_block2_out,5,0.944938,0.94493,0.944938,0.944859,0.797211
14,256,0.4334834444556087,adam,0.0032893535174493794,conv5_block1_out,31,0.942716,0.942905,0.942716,0.942582,0.789858
15,512,0.30031150633640574,sgd,0.003125659397175811,conv5_block2_out,1,0.940247,0.940572,0.940247,0.940183,0.781787
