trial,filters,conv_layers,dense_units,dropout,batch_norm,optimizer,lr,accuracy,precision,recall,f1_score,weighted_score,flattening_layers
1,32,2,512,0.38,True,adam,0.0001,0.851605,0.851261,0.851605,0.849474,0.524432,flatten
2,32,2,128,0.58,False,rmsprop,0.0001,0.804444,0.80016,0.804444,0.80083,0.414677,flatten
3,32,2,512,0.38,True,adam,0.0001,0.804198,0.81385,0.804198,0.801803,0.422024,flatten
4,64,3,128,0.57,False,adam,0.0001,0.801235,0.797321,0.801235,0.797443,0.40818,flatten
5,64,4,256,0.42,True,rmsprop,0.005,0.250864,0.141504,0.250864,0.162056,0.001443,flatten
6,32,4,512,0.47,True,adam,0.0005,0.823457,0.846122,0.823457,0.818556,0.469638,flatten
7,32,2,128,0.45,True,adam,0.001,0.795802,0.79661,0.795802,0.794203,0.400671,flatten
8,32,3,128,0.52,True,adam,0.001,0.910123,0.910862,0.910123,0.909556,0.686251,flatten
9,64,3,256,0.46,False,adam,0.001,0.925926,0.926123,0.925926,0.925646,0.734964,flatten
10,32,2,256,0.31,True,sgd,0.0001,0.757531,0.755945,0.757531,0.751927,0.326187,flatten
11,32,2,512,0.38,True,adam,0.0001,0.841728,0.841512,0.841728,0.839296,0.500402,flatten
12,32,2,512,0.38,True,adam,0.0001,0.856296,0.856738,0.856296,0.854558,0.536832,flatten
13,64,3,256,0.32,False,rmsprop,0.0005,0.931111,0.931177,0.931111,0.930885,0.751504,flatten
14,32,2,128,0.52,False,rmsprop,0.0005,0.831111,0.830648,0.831111,0.829387,0.475874,flatten
15,64,3,512,0.45,True,sgd,0.001,0.839259,0.841236,0.839259,0.836612,0.495717,flatten
16,64,2,256,0.52,True,adam,0.0005,0.80321,0.808372,0.80321,0.801256,0.41787,flatten
17,32,4,256,0.55,False,adam,0.0005,0.922222,0.922137,0.922222,0.92192,0.723036,flatten
18,32,4,128,0.37,True,rmsprop,0.0001,0.864691,0.869227,0.864691,0.863645,0.561295,flatten
19,32,2,128,0.59,True,sgd,0.001,0.798272,0.798618,0.798272,0.795555,0.404865,flatten
20,32,3,256,0.53,False,sgd,0.001,0.719259,0.717759,0.719259,0.715982,0.265859,flatten
21,32,4,256,0.45,True,sgd,0.005,0.777778,0.786963,0.777778,0.774697,0.368805,flatten
22,32,4,512,0.43,False,sgd,0.005,0.835309,0.833305,0.835309,0.833666,0.484719,flatten
23,32,4,128,0.57,True,rmsprop,0.001,0.920494,0.921024,0.920494,0.920211,0.718125,flatten
24,32,3,256,0.53,True,adam,0.005,0.111111,0.012346,0.111111,0.022222,3e-06,flatten
25,32,3,256,0.41,False,adam,0.005,0.735556,0.734945,0.735556,0.733097,0.291506,flatten
26,32,4,256,0.53,False,rmsprop,0.0005,0.917531,0.917592,0.917531,0.916969,0.708347,flatten
27,64,2,256,0.46,False,adam,0.0005,0.831111,0.834096,0.831111,0.830361,0.478411,flatten
28,64,4,512,0.54,True,adam,0.0005,0.899259,0.901448,0.899259,0.898739,0.655155,flatten
29,64,2,256,0.45,True,sgd,0.005,0.843951,0.845052,0.843951,0.84015,0.505678,flatten
30,64,3,256,0.55,False,sgd,0.001,0.708642,0.707767,0.708642,0.704646,0.250446,flatten
31,64,4,512,0.49,True,rmsprop,0.001,0.841728,0.847991,0.841728,0.837892,0.503411,flatten
32,32,3,256,0.47,False,rmsprop,0.0005,0.925185,0.925387,0.925185,0.924879,0.732597,flatten
33,32,2,256,0.52,True,adam,0.005,0.185679,0.055198,0.185679,0.080039,0.000152,flatten
34,64,3,256,0.52,True,adam,0.001,0.908642,0.909353,0.908642,0.908238,0.681895,flatten
35,64,2,512,0.47,True,sgd,0.0005,0.823457,0.826161,0.823457,0.821397,0.46015,flatten
36,32,4,256,0.4,False,rmsprop,0.0001,0.728395,0.730685,0.728395,0.725156,0.281122,flatten
37,64,2,256,0.49,True,sgd,0.001,0.837037,0.849669,0.837037,0.83477,0.496942,flatten
38,32,2,256,0.51,True,rmsprop,0.0005,0.836296,0.837055,0.836296,0.834587,0.488591,flatten
39,64,2,512,0.5,True,adam,0.001,0.514074,0.369381,0.514074,0.422561,0.041249,flatten
40,32,4,128,0.32,True,sgd,0.005,0.883457,0.882487,0.883457,0.881891,0.607427,flatten
41,32,3,256,0.32,True,sgd,0.0001,0.775802,0.774226,0.775802,0.771814,0.359652,flatten
42,64,4,128,0.43,False,sgd,0.001,0.745185,0.737798,0.745185,0.737769,0.302264,flatten
43,32,2,256,0.49,False,adam,0.0001,0.743704,0.754199,0.743704,0.743328,0.310075,flatten
44,32,2,512,0.36,True,adam,0.001,0.791358,0.79441,0.791358,0.789194,0.392622,flatten
45,32,3,256,0.44,False,rmsprop,0.005,0.800494,0.803923,0.800494,0.799868,0.412049,flatten
46,64,2,256,0.45,False,sgd,0.0001,0.553827,0.545957,0.553827,0.535219,0.089627,flatten
47,32,3,128,0.35,False,rmsprop,0.0001,0.801481,0.801093,0.801481,0.797138,0.410207,flatten
48,64,2,512,0.41,False,sgd,0.0001,0.564444,0.584206,0.564444,0.550842,0.102526,flatten
49,64,3,512,0.53,True,rmsprop,0.0001,0.900741,0.901907,0.900741,0.900219,0.658733,flatten
50,32,3,512,0.52,True,adam,0.005,0.217284,0.066192,0.217284,0.09941,0.000311,flatten
