trial,filters,conv_layers,dense_units,dropout,batch_norm,optimizer,lr,accuracy,precision,recall,f1_score,weighted_score
1,32,1,256,0.3,True,sgd,0.0001,0.689136,0.679913,0.689136,0.676465,0.218428
2,64,1,512,0.42,True,adam,0.0005,0.78321,0.781931,0.78321,0.776179,0.372295
3,128,2,256,0.22,False,rmsprop,0.001,0.861481,0.86301,0.861481,0.861407,0.551716
4,128,2,128,0.56,True,adam,0.001,0.485432,0.37508,0.485432,0.414324,0.03662
5,32,3,256,0.38,False,rmsprop,0.0001,0.72963,0.735535,0.72963,0.72689,0.284628
6,32,1,512,0.44,False,rmsprop,0.005,0.111111,0.012346,0.111111,0.022222,3e-06
7,128,2,512,0.46,False,rmsprop,0.0005,0.891358,0.891514,0.891358,0.89101,0.631125
8,64,3,256,0.31,True,sgd,0.001,0.868148,0.867182,0.868148,0.866329,0.566214
9,128,2,512,0.52,False,sgd,0.001,0.70716,0.701685,0.70716,0.700831,0.245918
10,32,2,512,0.21,True,adam,0.005,0.171358,0.035302,0.171358,0.057845,6e-05
11,128,1,512,0.34,False,sgd,0.001,0.719012,0.716664,0.719012,0.714043,0.264553
12,128,2,512,0.59,False,rmsprop,0.0005,0.86963,0.871049,0.86963,0.868936,0.572399
13,32,2,64,0.47,False,sgd,0.005,0.8,0.798436,0.8,0.798008,0.407781
14,128,3,512,0.38,False,rmsprop,0.001,0.90963,0.910395,0.90963,0.909622,0.685204
15,256,3,512,0.26,False,sgd,0.001,0.760494,0.760799,0.760494,0.756824,0.333009
16,256,3,256,0.43,False,sgd,0.0001,0.530617,0.531954,0.530617,0.50614,0.075807
17,256,2,128,0.42,True,rmsprop,0.005,0.242222,0.076104,0.242222,0.115817,0.000517
18,128,1,64,0.41,False,sgd,0.0005,0.641728,0.645577,0.641728,0.632102,0.16805
19,64,1,256,0.33,True,adam,0.0005,0.771358,0.781931,0.771358,0.76501,0.355916
20,128,3,512,0.29,False,rmsprop,0.005,0.111111,0.012346,0.111111,0.022222,3e-06
21,64,1,64,0.31,True,sgd,0.001,0.648642,0.712903,0.648642,0.640116,0.191999
22,64,3,256,0.48,True,adam,0.005,0.172099,0.036306,0.172099,0.059723,6.4e-05
23,128,2,128,0.55,True,adam,0.001,0.377778,0.265131,0.377778,0.267044,0.010105
24,256,3,128,0.43,True,sgd,0.001,0.834568,0.840562,0.834568,0.831726,0.486938
